raw_field,alternative_name,source_page,section_id,section_name,question_id,subquestion_id,question_text,field_role,response_type,data_type,units,canonical_name,table_name,row_index,row_label,column_name,codebook_id,notes
amleml,Animal Owner Email,1,A,Premises Information,A1,,Animal Owner Email,scalar_response,text,character,,animal_owner_email,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
weename,Interviewee Name,1,A,Premises Information,A1,,Interviewee Name,scalar_response,text,character,,interviewee_name,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
weepos,Interviewee Position,1,A,Premises Information,A1,,Interviewee Position,scalar_response,text,character,,interviewee_position,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
weeph,Interviewee Phone,1,A,Premises Information,A1,,Interviewee Phone,scalar_response,text,character,,interviewee_phone,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
weeeml,Interviewee Email,1,A,Premises Information,A1,,Interviewee Email,scalar_response,text,character,,interviewee_email,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
wername,Interviewer Name,1,A,Premises Information,A1,,Interviewer Name,scalar_response,text,character,,interviewer_name,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
werph,Interviewer Phone,1,A,Premises Information,A1,,Interviewer Phone,scalar_response,text,character,,interviewer_phone,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
wereml,Interviewer Email,1,A,Premises Information,A1,,Interviewer Email,scalar_response,text,character,,interviewer_email,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0001,Todays Date,2,B,Flock Information,B1,,Todays Date,scalar_response,date,date,date,today_date,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0002,Date Clinical Signs First Observed,2,B,Flock Information,B1,,Date Clinical Signs First Observed,scalar_response,date,date,date,clinical_signs_first_observed_date,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0003,28-Days Prior,2,B,Flock Information,B1,,28-Days Prior,scalar_response,date,date,date,date_28_days_before_clinical_signs,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0004,Description of Clinical Signs,2,B,Flock Information,B1,,Description of Clinical Signs,scalar_response,text,character,,clinical_signs_description,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0005,Baseline Mortality Rate,2,B,Flock Information,B1,,Baseline Mortality Rate,scalar_response,text,numeric,count,baseline_mortality,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0006,Initial Sampling Mortality Rate,2,B,Flock Information,B1,,Initial Sampling Mortality Rate,scalar_response,text,numeric,count,initial_sampling_mortality,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0007a,Date,2,B,Flock Information,B2,,Date,table_cell,table,date,date,ai_tests_date,ai_tests,1,,date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0008a,Date,2,B,Flock Information,B2,,Date,table_cell,table,date,date,ai_tests_date,ai_tests,2,,date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0009a,Date,2,B,Flock Information,B2,,Date,table_cell,table,date,date,ai_tests_date,ai_tests,3,,date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0007b,Results,2,B,Flock Information,B2,,Results,table_cell,table,character,,ai_tests_result,ai_tests,1,,result,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0008b,Results,2,B,Flock Information,B2,,Results,table_cell,table,character,,ai_tests_result,ai_tests,2,,result,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0009b,Results,2,B,Flock Information,B2,,Results,table_cell,table,character,,ai_tests_result,ai_tests,3,,result,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0007c,Test Type,2,B,Flock Information,B2,,Test Type,table_cell,table,character,,ai_tests_test_type,ai_tests,1,,test_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0008c,Test Type,2,B,Flock Information,B2,,Test Type,table_cell,table,character,,ai_tests_test_type,ai_tests,2,,test_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0009c,Test Type,2,B,Flock Information,B2,,Test Type,table_cell,table,character,,ai_tests_test_type,ai_tests,3,,test_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010a,House ID,2,B,Flock Information,B3,,House ID,table_cell,table,character,,houses_house_id,houses,1,,house_id,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011a,House ID,2,B,Flock Information,B3,,House ID,table_cell,table,character,,houses_house_id,houses,2,,house_id,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012a,House ID,2,B,Flock Information,B3,,House ID,table_cell,table,character,,houses_house_id,houses,3,,house_id,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013a,House ID,2,B,Flock Information,B3,,House ID,table_cell,table,character,,houses_house_id,houses,4,,house_id,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014a,House ID,2,B,Flock Information,B3,,House ID,table_cell,table,character,,houses_house_id,houses,5,,house_id,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015a,House ID,2,B,Flock Information,B3,,House ID,table_cell,table,character,,houses_house_id,houses,6,,house_id,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016a,House ID,2,B,Flock Information,B3,,House ID,table_cell,table,character,,houses_house_id,houses,7,,house_id,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010b,Type of Birds,2,B,Flock Information,B3,,Type of Birds,table_cell,table,character,,houses_bird_type,houses,1,,bird_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011b,Type of Birds,2,B,Flock Information,B3,,Type of Birds,table_cell,table,character,,houses_bird_type,houses,2,,bird_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012b,Type of Birds,2,B,Flock Information,B3,,Type of Birds,table_cell,table,character,,houses_bird_type,houses,3,,bird_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013b,Type of Birds,2,B,Flock Information,B3,,Type of Birds,table_cell,table,character,,houses_bird_type,houses,4,,bird_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014b,Type of Birds,2,B,Flock Information,B3,,Type of Birds,table_cell,table,character,,houses_bird_type,houses,5,,bird_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015b,Type of Birds,2,B,Flock Information,B3,,Type of Birds,table_cell,table,character,,houses_bird_type,houses,6,,bird_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016b,Type of Birds,2,B,Flock Information,B3,,Type of Birds,table_cell,table,character,,houses_bird_type,houses,7,,bird_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010c,Number of Birds Today,2,B,Flock Information,B3,,Number of Birds Today,table_cell,table,numeric,count,houses_birds_today,houses,1,,birds_today,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011c,Number of Birds Today,2,B,Flock Information,B3,,Number of Birds Today,table_cell,table,numeric,count,houses_birds_today,houses,2,,birds_today,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012c,Number of Birds Today,2,B,Flock Information,B3,,Number of Birds Today,table_cell,table,numeric,count,houses_birds_today,houses,3,,birds_today,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013c,Number of Birds Today,2,B,Flock Information,B3,,Number of Birds Today,table_cell,table,numeric,count,houses_birds_today,houses,4,,birds_today,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014c,Number of Birds Today,2,B,Flock Information,B3,,Number of Birds Today,table_cell,table,numeric,count,houses_birds_today,houses,5,,birds_today,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015c,Number of Birds Today,2,B,Flock Information,B3,,Number of Birds Today,table_cell,table,numeric,count,houses_birds_today,houses,6,,birds_today,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016c,Number of Birds Today,2,B,Flock Information,B3,,Number of Birds Today,table_cell,table,numeric,count,houses_birds_today,houses,7,,birds_today,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010d,Number of Birds Placed,2,B,Flock Information,B3,,Number of Birds Placed,table_cell,table,numeric,count,houses_birds_placed,houses,1,,birds_placed,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011d,Number of Birds Placed,2,B,Flock Information,B3,,Number of Birds Placed,table_cell,table,numeric,count,houses_birds_placed,houses,2,,birds_placed,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012d,Number of Birds Placed,2,B,Flock Information,B3,,Number of Birds Placed,table_cell,table,numeric,count,houses_birds_placed,houses,3,,birds_placed,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013d,Number of Birds Placed,2,B,Flock Information,B3,,Number of Birds Placed,table_cell,table,numeric,count,houses_birds_placed,houses,4,,birds_placed,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014d,Number of Birds Placed,2,B,Flock Information,B3,,Number of Birds Placed,table_cell,table,numeric,count,houses_birds_placed,houses,5,,birds_placed,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015d,Number of Birds Placed,2,B,Flock Information,B3,,Number of Birds Placed,table_cell,table,numeric,count,houses_birds_placed,houses,6,,birds_placed,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016d,Number of Birds Placed,2,B,Flock Information,B3,,Number of Birds Placed,table_cell,table,numeric,count,houses_birds_placed,houses,7,,birds_placed,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010e,Age of Birds (in weeks),2,B,Flock Information,B3,,Age of Birds (in weeks),table_cell,table,numeric,count,houses_age_weeks,houses,1,,age_weeks,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011e,Age of Birds (in weeks),2,B,Flock Information,B3,,Age of Birds (in weeks),table_cell,table,numeric,count,houses_age_weeks,houses,2,,age_weeks,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012e,Age of Birds (in weeks),2,B,Flock Information,B3,,Age of Birds (in weeks),table_cell,table,numeric,count,houses_age_weeks,houses,3,,age_weeks,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013e,Age of Birds (in weeks),2,B,Flock Information,B3,,Age of Birds (in weeks),table_cell,table,numeric,count,houses_age_weeks,houses,4,,age_weeks,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014e,Age of Birds (in weeks),2,B,Flock Information,B3,,Age of Birds (in weeks),table_cell,table,numeric,count,houses_age_weeks,houses,5,,age_weeks,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015e,Age of Birds (in weeks),2,B,Flock Information,B3,,Age of Birds (in weeks),table_cell,table,numeric,count,houses_age_weeks,houses,6,,age_weeks,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016e,Age of Birds (in weeks),2,B,Flock Information,B3,,Age of Birds (in weeks),table_cell,table,numeric,count,houses_age_weeks,houses,7,,age_weeks,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010f,Ventilation Type,2,B,Flock Information,B3,,Ventilation Type,table_cell,table,character,,houses_ventilation_type,houses,1,,ventilation_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011f,Ventilation Type,2,B,Flock Information,B3,,Ventilation Type,table_cell,table,character,,houses_ventilation_type,houses,2,,ventilation_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012f,Ventilation Type,2,B,Flock Information,B3,,Ventilation Type,table_cell,table,character,,houses_ventilation_type,houses,3,,ventilation_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013f,Ventilation Type,2,B,Flock Information,B3,,Ventilation Type,table_cell,table,character,,houses_ventilation_type,houses,4,,ventilation_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014f,Ventilation Type,2,B,Flock Information,B3,,Ventilation Type,table_cell,table,character,,houses_ventilation_type,houses,5,,ventilation_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015f,Ventilation Type,2,B,Flock Information,B3,,Ventilation Type,table_cell,table,character,,houses_ventilation_type,houses,6,,ventilation_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016f,Ventilation Type,2,B,Flock Information,B3,,Ventilation Type,table_cell,table,character,,houses_ventilation_type,houses,7,,ventilation_type,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010g,Date of Onset of Clinical Signs,2,B,Flock Information,B3,,Date of Onset of Clinical Signs,table_cell,table,date,date,houses_clinical_onset_date,houses,1,,clinical_onset_date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011g,Date of Onset of Clinical Signs,2,B,Flock Information,B3,,Date of Onset of Clinical Signs,table_cell,table,date,date,houses_clinical_onset_date,houses,2,,clinical_onset_date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012g,Date of Onset of Clinical Signs,2,B,Flock Information,B3,,Date of Onset of Clinical Signs,table_cell,table,date,date,houses_clinical_onset_date,houses,3,,clinical_onset_date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013g,Date of Onset of Clinical Signs,2,B,Flock Information,B3,,Date of Onset of Clinical Signs,table_cell,table,date,date,houses_clinical_onset_date,houses,4,,clinical_onset_date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014g,Date of Onset of Clinical Signs,2,B,Flock Information,B3,,Date of Onset of Clinical Signs,table_cell,table,date,date,houses_clinical_onset_date,houses,5,,clinical_onset_date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015g,Date of Onset of Clinical Signs,2,B,Flock Information,B3,,Date of Onset of Clinical Signs,table_cell,table,date,date,houses_clinical_onset_date,houses,6,,clinical_onset_date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016g,Date of Onset of Clinical Signs,2,B,Flock Information,B3,,Date of Onset of Clinical Signs,table_cell,table,date,date,houses_clinical_onset_date,houses,7,,clinical_onset_date,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00010h,Location in House Where Clinical Signs Observed,2,B,Flock Information,B3,,Location in House Where Clinical Signs Observed,table_cell,table,character,,houses_clinical_onset_location,houses,1,,clinical_onset_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00011h,Location in House Where Clinical Signs Observed,2,B,Flock Information,B3,,Location in House Where Clinical Signs Observed,table_cell,table,character,,houses_clinical_onset_location,houses,2,,clinical_onset_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00012h,Location in House Where Clinical Signs Observed,2,B,Flock Information,B3,,Location in House Where Clinical Signs Observed,table_cell,table,character,,houses_clinical_onset_location,houses,3,,clinical_onset_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00013h,Location in House Where Clinical Signs Observed,2,B,Flock Information,B3,,Location in House Where Clinical Signs Observed,table_cell,table,character,,houses_clinical_onset_location,houses,4,,clinical_onset_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00014h,Location in House Where Clinical Signs Observed,2,B,Flock Information,B3,,Location in House Where Clinical Signs Observed,table_cell,table,character,,houses_clinical_onset_location,houses,5,,clinical_onset_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00015h,Location in House Where Clinical Signs Observed,2,B,Flock Information,B3,,Location in House Where Clinical Signs Observed,table_cell,table,character,,houses_clinical_onset_location,houses,6,,clinical_onset_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00016h,Location in House Where Clinical Signs Observed,2,B,Flock Information,B3,,Location in House Where Clinical Signs Observed,table_cell,table,character,,houses_clinical_onset_location,houses,7,,clinical_onset_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00017,Total Eggs Present,2,B,Flock Information,B4,,Total Eggs Present,scalar_response,text,numeric,count,eggs_present,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00018,Eggs Laid in Last Week,2,B,Flock Information,B4,,Eggs Laid in Last Week,scalar_response,text,numeric,count,eggs_laid_last_week,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00020a,Name of Veterinarian,3,C,Trace-in and Trace-out,C1,,Name of Veterinarian,scalar_response,text,character,,veterinarian_name,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p00021a,Depopulation Method,3,C,Trace-in and Trace-out,C1,,Depopulation Method,scalar_response,text,character,,depopulation_method_name,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0019,Eggs for Research,3,C,Trace-in and Trace-out,C1,,Eggs for Research,scalar_response,coded,character,,eggs_for_research,,,,,yes_no_1_3,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0020,Do You Have Veterinarian,3,C,Trace-in and Trace-out,C1,,Do You Have Veterinarian,scalar_response,coded,character,,veterinarian_available,,,,,yes_no_1_3,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0021,Depopulation Plan,3,C,Trace-in and Trace-out,C1,,Depopulation Plan,scalar_response,coded,character,,depopulation_plan,,,,,yes_no_1_3,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0022,Excercised or Used This Method,3,C,Trace-in and Trace-out,C1,,Excercised or Used This Method,scalar_response,coded,character,,depopulation_method_used,,,,,yes_no_1_3,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0100na,Composting NA,3,C,Trace-in and Trace-out,C1,,Composting NA,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,1,composting,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0100off,Composting Off-site,3,C,Trace-in and Trace-out,C1,,Composting Off-site,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,1,composting,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0100on,Composting On-site,3,C,Trace-in and Trace-out,C1,,Composting On-site,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,1,composting,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0100oth,Distance to Nearest Barn,3,C,Trace-in and Trace-out,C1,,Distance to Nearest Barn,table_cell,table,numeric,yards,mortality_disposal_distance_yards,mortality_disposal,1,composting,distance_yards,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0100a,Dates Composted,3,C,Trace-in and Trace-out,C1,,Dates Composted,table_cell,table,date_text,date,mortality_disposal_dates,mortality_disposal,1,composting,dates,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0100b,Company Name and Location,3,C,Trace-in and Trace-out,C1,,Company Name and Location,table_cell,table,character,,mortality_disposal_offsite_location,mortality_disposal,1,composting,offsite_location,egg_product_status_1_2,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0100c,Transporter Company Name,3,C,Trace-in and Trace-out,C1,,Transporter Company Name,table_cell,table,character,,mortality_disposal_transporter,mortality_disposal,1,composting,transporter,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0101on,Burial On-site,3,C,Trace-in and Trace-out,C1,,Burial On-site,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,2,burial,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0102on,Incineration On-site,3,C,Trace-in and Trace-out,C1,,Incineration On-site,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,3,incineration,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0101oth,Distance to Nearest Barn,3,C,Trace-in and Trace-out,C1,,Distance to Nearest Barn,table_cell,table,numeric,yards,mortality_disposal_distance_yards,mortality_disposal,2,burial,distance_yards,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0102oth,Distance to Nearest Barn,3,C,Trace-in and Trace-out,C1,,Distance to Nearest Barn,table_cell,table,numeric,yards,mortality_disposal_distance_yards,mortality_disposal,3,incineration,distance_yards,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0101off,Burial Off-site,3,C,Trace-in and Trace-out,C1,,Burial Off-site,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,2,burial,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0101na,Burial NA,3,C,Trace-in and Trace-out,C1,,Burial NA,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,2,burial,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0101a,Dates Buried,3,C,Trace-in and Trace-out,C1,,Dates Buried,table_cell,table,date_text,date,mortality_disposal_dates,mortality_disposal,2,burial,dates,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0101b,Company Name and Location,3,C,Trace-in and Trace-out,C1,,Company Name and Location,table_cell,table,character,,mortality_disposal_offsite_location,mortality_disposal,2,burial,offsite_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0101c,Transporter Company Name,3,C,Trace-in and Trace-out,C1,,Transporter Company Name,table_cell,table,character,,mortality_disposal_transporter,mortality_disposal,2,burial,transporter,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0102off,Incineration Off-site,3,C,Trace-in and Trace-out,C1,,Incineration Off-site,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,3,incineration,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0102na,Incineration NA,3,C,Trace-in and Trace-out,C1,,Incineration NA,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,3,incineration,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0103na,Rendering NA,3,C,Trace-in and Trace-out,C1,,Rendering NA,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,4,rendering,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0104na,Landfill NA,3,C,Trace-in and Trace-out,C1,,Landfill NA,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,5,landfill,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0103off,Rendering Off-site,3,C,Trace-in and Trace-out,C1,,Rendering Off-site,table_cell,table,character,,mortality_disposal_site_status,mortality_disposal,4,rendering,site_status,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0102a,Dates Incinerated,3,C,Trace-in and Trace-out,C1,,Dates Incinerated,table_cell,table,date_text,date,mortality_disposal_dates,mortality_disposal,3,incineration,dates,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0102b,Company Name and Location,3,C,Trace-in and Trace-out,C1,,Company Name and Location,table_cell,table,character,,mortality_disposal_offsite_location,mortality_disposal,3,incineration,offsite_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0102c,Transporter Company Name,3,C,Trace-in and Trace-out,C1,,Transporter Company Name,table_cell,table,character,,mortality_disposal_transporter,mortality_disposal,3,incineration,transporter,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0103a,Dates Transported,3,C,Trace-in and Trace-out,C1,,Dates Transported,table_cell,table,date_text,date,mortality_disposal_dates,mortality_disposal,4,rendering,dates,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0104a,Dates Transported,3,C,Trace-in and Trace-out,C1,,Dates Transported,table_cell,table,date_text,date,mortality_disposal_dates,mortality_disposal,5,landfill,dates,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0103b,Company Name and Location,3,C,Trace-in and Trace-out,C1,,Company Name and Location,table_cell,table,character,,mortality_disposal_offsite_location,mortality_disposal,4,rendering,offsite_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0103c,Transporter Company Name,3,C,Trace-in and Trace-out,C1,,Transporter Company Name,table_cell,table,character,,mortality_disposal_transporter,mortality_disposal,4,rendering,transporter,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0104c,Transporter Company Name,3,C,Trace-in and Trace-out,C1,,Transporter Company Name,table_cell,table,character,,mortality_disposal_transporter,mortality_disposal,5,landfill,transporter,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0105,Other,3,C,Trace-in and Trace-out,C1,,Other,table_cell,table,character,,mortality_disposal_other_description,mortality_disposal,6,other,other_description,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0106,Carcass Bin,3,C,Trace-in and Trace-out,C1,,Carcass Bin,scalar_response,coded,character,,carcass_bin_available,,,,,yes_no_1_3,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0106a,Kept Covered,4,C,Trace-in and Trace-out,C1,,Kept Covered,scalar_response,coded,character,,carcass_bin_kept_covered,,,,,yes_no_1_3,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0104b,Company Name and Location,3,C,Trace-in and Trace-out,C1,,Company Name and Location,table_cell,table,character,,mortality_disposal_offsite_location,mortality_disposal,5,landfill,offsite_location,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
p0106b,Distance to Nearest Barn,4,C,Trace-in and Trace-out,C1,,Distance to Nearest Barn,scalar_response,text,numeric,yards,carcass_bin_distance_yards,,,,,,"Derived from the official blank May 28, 2024 responder template; raw field name is immutable."
