section_id,question_id,canonical_name,table_name,column_name,response_type,data_type,codebook_id,privacy_action,candidate_domain,candidate_feature,feature_semantics,derivation_type,eligible,reason
C,C6,egg_movement_parents,,,coded,character,yes_no_1_3,retain,egg_movement,egg_movement_reported_features,Four explicit directional and material parent responses,logical,TRUE,Direction and material filters are explicit in the relational table
C,C6,egg_movements,egg_movements,date|description,table,mixed,,retain,egg_movement,egg_movement_records,Egg and egg-product rows with retained analytical content,count,TRUE,Source and destination identifiers are not used
C;D,C2;D1,environment_yes_no_fields,,,coded,character,yes_no_1_3,retain,environment_wildlife,environment_reported_features,Explicit structured environmental and wildlife responses,logical,TRUE,Binary mapping is complete and no external ecological inference is used
D,D1,supplemental_feed,,,coded,character,yes_no_na_dk_1_3_na_4,retain,environment_wildlife,supplemental_feed_response,All defined response states including unknown and not applicable,coded,TRUE,Categorical output preserves distinctions that binary output would lose
D,D1,wildlife_management_plan,,,coded,character,yes_no_dk_1_3_4,retain,environment_wildlife,wildlife_management_plan_response,All defined response states including unknown,coded,TRUE,Categorical output preserves Don't know
C,C1,veterinarian_available;depopulation_plan,,,coded,character,yes_no_1_3,retain,management_veterinary,management_reported_features,Explicit availability and plan responses,logical,TRUE,Neutral observable constructs with complete mappings
A,A1,premises_county,,,text,character,,retain,geography,,County value,direct,FALSE,Geographic enrichment and case-level geography were deferred from v1
B,B1,clinical_dates,,,date,date,,retain,flock_clinical,,Potential date intervals,aggregate,FALSE,Temporal direction chronology and invalid-date behavior require separate review
D,D1,wildlife_frequency_and_abundance,,,coded,character,frequency_1_3|abundance_1_5,retain,environment_wildlife,,Taxon-specific frequency or abundance responses,coded,FALSE,Several source canonical names require further semantic reconciliation before feature naming
C,C3;C4,community_and_worker_livestock,,,multiselect,character,,retain,personnel_contact,,Livestock selections associated with community or workers,aggregate,FALSE,Parent selection and denominator semantics require a separately reviewed contract
C,C1,mortality_site_aggregation,mortality_disposal,site_status,table,character,,retain,mortality_disposal,,On-site or off-site method indicators,aggregate,FALSE,Fixed-row site-status encodings require method-specific review before aggregation
ALL,ALL,direct_identifiers,,,text,character,,drop,,,Identity-bearing source values,,FALSE,Privacy action is not retain
ALL,ALL,pseudonym_identifiers,,,text,character,,pseudonymize,,,Pseudonym linkage values,,FALSE,Identifiers are not analytical features
ALL,ALL,sensitive_free_text,,,text,character,,review_remove,,,Narrative interpretation,,FALSE,Free text is withheld and NLP is outside scope
ALL,ALL,composite_contact_or_movement_indicator,,,aggregate,mixed,,retain,,,Combined domain indicator,aggregate,FALSE,Composite features and scores require separate scientific review
