feature_order,feature_schema_version,feature_version,form_version,feature_name,feature_label,domain_id,feature_type,source_type,source_table,source_variable,source_question_id,source_codebook_id,derivation_type,derivation,true_values,false_values,missing_behavior,unit,description,notes,child_table,child_filter,child_record_fields
26,1,1,2024-05-28,eggs_moved_off_reported,Eggs moved off premises reported,egg_movement,binary,scalar_response,epi_responses_long,eggs_moved_off_premises,C6,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether eggs moved off the premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_egg_movements,direction=off;material_type=eggs,date|description
27,1,1,2024-05-28,egg_products_moved_onto_reported,Egg products moved onto premises reported,egg_movement,binary,scalar_response,epi_responses_long,egg_products_moved_onto_premises,C6,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether egg products moved onto the premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_egg_movements,direction=onto;material_type=egg_products,date|description
28,1,1,2024-05-28,egg_products_moved_off_reported,Egg products moved off premises reported,egg_movement,binary,scalar_response,epi_responses_long,egg_products_moved_off_premises,C6,yes_no_1_3,logical,Map the explicit coded parent response without changing it from child records.,1,3,Blank remains missing and is never interpreted as false,,Whether egg products moved off the premises are explicitly reported.,Parent-child contradictions are preserved and flagged.,epi_egg_movements,direction=off;material_type=egg_products,date|description
29,1,1,2024-05-28,egg_movement_records,Egg movement records,egg_movement,count,repeated_table,epi_egg_movements,date|description,C6,,count,Count rows with at least one listed retained analytical field populated.,,,Zero means zero qualifying retained-content rows and does not confirm no egg movement occurred,records,Number of egg or egg-product movement rows containing retained analytical content.,Source and destination identifiers are not used.,,,
30,1,1,2024-05-28,domestic_birds_outdoor_access_reported,Domestic birds outdoor access reported,environment_wildlife,binary,scalar_response,epi_responses_long,domestic_birds_outdoor_access,D1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether outdoor access for domestic birds is explicitly reported.,No exposure judgment is applied.,,,
31,1,1,2024-05-28,wild_birds_on_premises_reported,Wild birds on premises reported,environment_wildlife,binary,scalar_response,epi_responses_long,wild_birds_on_premises,C2,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether wild birds on the premises are explicitly reported.,No external ecological inference is applied.,,,
32,1,1,2024-05-28,wild_animals_on_premises_reported,Wild animals on premises reported,environment_wildlife,binary,scalar_response,epi_responses_long,wild_animals_on_premises,C2,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether wild animals on the premises are explicitly reported.,No external ecological inference is applied.,,,
33,1,1,2024-05-28,wild_birds_observed_reported,Wild birds observed reported,environment_wildlife,binary,scalar_response,epi_responses_long,wild_birds_observed,D1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether wild birds observed are explicitly reported.,No frequency or abundance is inferred.,,,
34,1,1,2024-05-28,wild_mammals_observed_reported,Wild mammals observed reported,environment_wildlife,binary,scalar_response,epi_responses_long,wild_mammals_observed,D1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether wild mammals observed are explicitly reported.,No frequency or abundance is inferred.,,,
35,1,1,2024-05-28,waterbody_within_350_yards_reported,Waterbody within 350 yards reported,environment_wildlife,binary,scalar_response,epi_responses_long,waterbody_within_350_yards,D1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether a waterbody within 350 yards is explicitly reported.,No geographic enrichment is performed.,,,
36,1,1,2024-05-28,open_water_reported,Open water reported,environment_wildlife,binary,scalar_response,epi_responses_long,waterbody_open_water,D1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether unfrozen open water is explicitly reported.,No environmental risk is assigned.,,,
37,1,1,2024-05-28,supplemental_feed_response,Supplemental feed response,environment_wildlife,categorical,scalar_response,epi_responses_long,supplemental_feed,D1,yes_no_na_dk_1_3_na_4,coded,Copy the defined response label and preserve response status.,,,Blank remains missing; Don't know remains unknown; Not applicable remains not_applicable,,Questionnaire response concerning supplemental feed.,The categorical feature preserves all codebook states.,,,
38,1,1,2024-05-28,wildlife_management_plan_response,Wildlife management plan response,environment_wildlife,categorical,scalar_response,epi_responses_long,wildlife_management_plan,D1,yes_no_dk_1_3_4,coded,Copy the defined response label and preserve response status.,,,Blank remains missing and Don't know remains unknown,,Questionnaire response concerning a wildlife management plan.,The categorical feature preserves all codebook states.,,,
39,1,1,2024-05-28,veterinarian_available_reported,Veterinarian available reported,management_veterinary,binary,scalar_response,epi_responses_long,veterinarian_available,C1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether veterinarian availability is explicitly reported.,No quality judgment is applied.,,,
40,1,1,2024-05-28,depopulation_plan_reported,Depopulation plan reported,management_veterinary,binary,scalar_response,epi_responses_long,depopulation_plan,C1,yes_no_1_3,logical,Map the explicit coded response to a logical value.,1,3,Blank remains missing and is never interpreted as false,,Whether a depopulation plan is explicitly reported.,No plan quality or preparedness judgment is applied.,,,
